county,candidate,votes,numbers
Harrisonburg,Bernie Sanders,2911,3
Alcorn,Donald Trump,2901,2
Gallia,Donald Trump,2900,2
Humphreys,Hillary Clinton,2894,1
Suwannee,Donald Trump,2844,2
Iroquois,Donald Trump,2836,2
Alexander,Ted Cruz,2830,5
Okanogan,Donald Trump,2828,2
Haralson,Donald Trump,2818,2
Palo Pinto,Ted Cruz,2813,5
Ionia,Bernie Sanders,2812,3
Garfield,Ted Cruz,2798,5
Juneau,Donald Trump,2780,2
Coshocton,Donald Trump,2747,2
Fountain,Donald Trump,2742,2
Miller,Ted Cruz,2741,5
Story,Bernie Sanders,2737,3
Oldham,Hillary Clinton,2730,1
Dickson,Donald Trump,2730,2
Tift,Donald Trump,2697,2
Phillips,Hillary Clinton,2696,1
Van Wert,John Kasich,2688,4
Owen,Donald Trump,2679,2
Danville,Hillary Clinton,2676,1
Scotland,Hillary Clinton,2671,1
Texas,Donald Trump,2659,2
Barren,Bernie Sanders,2653,3
Dare,Donald Trump,2650,2
Thomas,Donald Trump,2649,2
Dawson,Donald Trump,2649,2
Elk,Donald Trump,2647,2
Graves,Bernie Sanders,2631,3
Otsego,Bernie Sanders,2623,3
Culpeper,Donald Trump,2620,2
Bayfield,Bernie Sanders,2604,3
Emmet,Bernie Sanders,2589,3
Plumas,Donald Trump,2588,2
Wexford,Donald Trump,2578,2
LaGrange,Donald Trump,2571,2
Barbour,Hillary Clinton,2567,1
McDowell,Donald Trump,2552,2
Malheur,Donald Trump,2543,2
Orleans,Donald Trump,2532,2
Cleburne,Donald Trump,2530,2
Cheatham,Donald Trump,2530,2
Hood River,Bernie Sanders,2527,3
Lafayette,Donald Trump,2521,2
Caroline,Donald Trump,2521,2
Powhatan,Donald Trump,2509,2
Lassen,Donald Trump,2508,2
Dubuque,Hillary Clinton,2504,1
Pontotoc,Ted Cruz,2498,5
Isle of Wight,Donald Trump,2497,2
McClain,Ted Cruz,2484,5
Kewaunee,Ted Cruz,2481,5
Pasquotank,Hillary Clinton,2471,1
Starke,Donald Trump,2456,2
Branch,Donald Trump,2455,2
Lumpkin,Donald Trump,2453,2
Bullock,Hillary Clinton,2451,1
Trempealeau,Bernie Sanders,2429,3
Stephens,Ted Cruz,2428,5
Hale,Hillary Clinton,2426,1
Mingo,Bernie Sanders,2425,3
Simpson,Donald Trump,2420,2
Hutchinson,Ted Cruz,2418,5
Tooele,Ted Cruz,2412,5
Langlade,Donald Trump,2407,2
Dyer,Donald Trump,2400,2
Shenandoah,Donald Trump,2400,2
Scotts Bluff,Donald Trump,2397,2
Nelson,Hillary Clinton,2395,1
Waushara,Donald Trump,2391,2
Osage,Hillary Clinton,2390,1
Juniata,Donald Trump,2390,2
Oktibbeha,Hillary Clinton,2389,1
Chenango,Donald Trump,2384,2
Meigs,Donald Trump,2378,2
Currituck,Donald Trump,2368,2
Rush,Donald Trump,2362,2
Leelanau,Bernie Sanders,2359,3
Spencer,Donald Trump,2350,2
Rhea,Donald Trump,2339,2
San Jacinto,Ted Cruz,2333,5
Atascosa,Ted Cruz,2333,5
Sunflower,Hillary Clinton,2332,1
Baker,Donald Trump,2330,2
Rutland,Bernie Sanders,2318,3
Laurel,Donald Trump,2313,2
Anson,Hillary Clinton,2307,1
Coahoma,Hillary Clinton,2301,1
Klickitat,Donald Trump,2289,2
Iron,Ted Cruz,2287,5
Asotin,Donald Trump,2270,2
Bandera,Ted Cruz,2268,5
Boyd,Bernie Sanders,2262,3
Roscommon,Donald Trump,2257,2
Neshoba,Donald Trump,2249,2
George,Donald Trump,2245,2
Calloway,Bernie Sanders,2239,3
Eastland,Ted Cruz,2221,5
Bryan,Donald Trump,2214,2
Gray,Ted Cruz,2210,5
Nicholas,Donald Trump,2210,2
Tillamook,Bernie Sanders,2207,3
Grimes,Ted Cruz,2207,5
Meade,Donald Trump,2204,2
Freestone,Ted Cruz,2204,5
Yazoo,Hillary Clinton,2203,1
Okeechobee,Donald Trump,2202,2
Jay,Donald Trump,2194,2
Kay,Ted Cruz,2190,5
Botetourt,Donald Trump,2185,2
Bureau,Donald Trump,2185,2
Montague,Ted Cruz,2163,5
Llano,Ted Cruz,2161,5
Green Lake,Ted Cruz,2146,5
Mayes,Bernie Sanders,2144,3
Uintah,Ted Cruz,2144,5
Transylvania,Ted Cruz,2139,5
Latah,Ted Cruz,2134,5
Bosque,Ted Cruz,2132,5
Marlboro,Hillary Clinton,2132,1
Hampshire,Donald Trump,2125,2
Bennington,Bernie Sanders,2121,3
Newberry,Hillary Clinton,2118,1
Jessamine,Bernie Sanders,2113,3
Mecosta,Donald Trump,2113,2
Matagorda,Ted Cruz,2109,5
Ouachita,Hillary Clinton,2095,1
Cassia,Ted Cruz,2095,5
Louisa,Donald Trump,2094,2
Leflore,Hillary Clinton,2094,1
Aransas,Donald Trump,2091,2
Cheboygan,Donald Trump,2089,2
Independence,Donald Trump,2077,2
Hockley,Ted Cruz,2073,5
Willacy,Hillary Clinton,2072,1
Whitman,Donald Trump,2071,2
Accomack,Donald Trump,2068,2
Bertie,Hillary Clinton,2065,1
Kauai,Bernie Sanders,2049,3
Houghton,Bernie Sanders,2039,3
Pacific,Donald Trump,2038,2
Sawyer,Donald Trump,2034,2
Tate,Ted Cruz,2034,5
Tyler,Ted Cruz,2032,5
Conecuh,Hillary Clinton,2031,1
Claiborne,Donald Trump,2022,2
San Benito,Hillary Clinton,2022,1
Mississippi,Hillary Clinton,2017,1
Hocking,Donald Trump,2007,2
Ware,Donald Trump,1998,2
Parke,Donald Trump,1996,2
Clare,Donald Trump,1996,2
Ashe,Donald Trump,1993,2
Prince George,Hillary Clinton,1992,1
Sanders,Donald Trump,1992,2
Fergus,Donald Trump,1975,2
Iosco,Donald Trump,1973,2
Antrim,Donald Trump,1969,2
Zapata,Hillary Clinton,1969,1
Brooke,Bernie Sanders,1966,3
Colorado,Ted Cruz,1956,5
Delta,Donald Trump,1954,2
Tippah,Donald Trump,1951,2
Young,Ted Cruz,1945,5
Mariposa,Donald Trump,1940,2
Dinwiddie,Hillary Clinton,1935,1
Pend Oreille,Donald Trump,1928,2
Washburn,Donald Trump,1926,2
Woodbury,Bernie Sanders,1920,3
Giles,Donald Trump,1910,2
Upson,Donald Trump,1910,2
Obion,Donald Trump,1908,2
Itawamba,Donald Trump,1905,2
Goochland,Marco Rubio,1903,6
Jersey,Donald Trump,1902,2
Park,Donald Trump,1901,2
Wyandot,John Kasich,1896,4
Worth,Donald Trump,1890,2
Titus,Ted Cruz,1890,5
Charlevoix,Donald Trump,1886,2
Milam,Ted Cruz,1885,5
Alpena,Donald Trump,1885,2
Butts,Donald Trump,1884,2
Okmulgee,Bernie Sanders,1882,3
Cortland,Bernie Sanders,1878,3
Wright,Donald Trump,1874,2
Wythe,Donald Trump,1873,2
Sequoyah,Bernie Sanders,1872,3
Frio,Hillary Clinton,1864,1
Gilchrist,Donald Trump,1860,2
Hart,Donald Trump,1858,2
Piatt,Ted Cruz,1855,5
Tishomingo,Donald Trump,1854,2
McNairy,Donald Trump,1822,2
Unicoi,Donald Trump,1813,2
Gratiot,Bernie Sanders,1812,3
Manassas,Hillary Clinton,1812,1
Banks,Donald Trump,1806,2
Dimmit,Hillary Clinton,1804,1
Wasco,Bernie Sanders,1795,3
Letcher,Bernie Sanders,1788,3
Avery,Donald Trump,1785,2
Dunklin,Donald Trump,1781,2
Amherst,Donald Trump,1777,2
Val Verde,Hillary Clinton,1777,1
Mitchell,Donald Trump,1775,2
Gladwin,Donald Trump,1774,2
Saunders,Donald Trump,1772,2
Choctaw,Hillary Clinton,1772,1
Grainger,Donald Trump,1767,2
Weakley,Donald Trump,1764,2
Conway,Hillary Clinton,1755,1
Vermillion,Donald Trump,1748,2
Montour,Donald Trump,1744,2
Smyth,Donald Trump,1744,2
Wetzel,Bernie Sanders,1744,3
Ritchie,Donald Trump,1740,2
Uvalde,Hillary Clinton,1740,1
Kleberg,Hillary Clinton,1738,1
Rabun,Donald Trump,1732,2
Grenada,Donald Trump,1727,2
Kalkaska,Donald Trump,1724,2
Hardeman,Hillary Clinton,1721,1
Breathitt,Bernie Sanders,1716,3
Bamberg,Hillary Clinton,1715,1
Burleson,Ted Cruz,1711,5
Dickinson,Donald Trump,1708,2
Lampasas,Ted Cruz,1705,5
Caswell,Hillary Clinton,1701,1
Glenn,Donald Trump,1699,2
Gonzales,Ted Cruz,1698,5
Oceana,Ted Cruz,1698,5
Callahan,Ted Cruz,1689,5
Dent,Donald Trump,1688,2
Peach,Hillary Clinton,1675,1
Chattooga,Donald Trump,1674,2
Price,Donald Trump,1673,2
Wakulla,Donald Trump,1664,2
Stillwater,Donald Trump,1658,2
Greenup,Bernie Sanders,1655,3
Benzie,Bernie Sanders,1650,3
Boyle,Hillary Clinton,1648,1
Weld,Bernie Sanders,1647,3
Manistee,Bernie Sanders,1646,3
Audrain,Ted Cruz,1642,5
Muhlenberg,Bernie Sanders,1632,3
Burnett,Donald Trump,1628,2
New Kent,Donald Trump,1626,2
Beaverhead,Donald Trump,1626,2
Dillon,Hillary Clinton,1615,1
Leake,Hillary Clinton,1614,1
Ogemaw,Donald Trump,1612,2
Hughes,Donald Trump,1606,2
Graham,Ted Cruz,1606,5
Brooks,Hillary Clinton,1603,1
McDonough,Donald Trump,1599,2
Hot Spring,Donald Trump,1597,2
Prentiss,Donald Trump,1597,2
Falls Church,Hillary Clinton,1587,1
Cibola,Hillary Clinton,1586,1
Nez Perce,Ted Cruz,1583,5
Overton,Donald Trump,1582,2
McDonald,Donald Trump,1580,2
Pottawattamie,Bernie Sanders,1573,3
Ray,Donald Trump,1565,2
Edgar,Donald Trump,1562,2
Barnwell,Hillary Clinton,1560,1
Barton,Ted Cruz,1560,5
Zavala,Hillary Clinton,1557,1
Newport,Bernie Sanders,1552,3
Caddo,Bernie Sanders,1543,3
Del Norte,Donald Trump,1536,2
Wasatch,Ted Cruz,1529,5
Sioux,Ted Cruz,1524,5
Attala,Hillary Clinton,1519,1
Toombs,Donald Trump,1513,2
Adair,Donald Trump,1512,2
Bee,Ted Cruz,1509,5
Garvin,Bernie Sanders,1505,3
Abbeville,Hillary Clinton,1501,1
Crenshaw,Donald Trump,1496,2
Custer,Ted Cruz,1491,5
Emanuel,Donald Trump,1489,2
Edgefield,Hillary Clinton,1474,1
Codington,Donald Trump,1473,2
La Plata,Bernie Sanders,1466,3
Meriwether,Hillary Clinton,1463,1
Andrew,Donald Trump,1457,2
King George,Donald Trump,1437,2
Trinity,Ted Cruz,1435,5
Fremont,Ted Cruz,1434,5
Gasconade,Donald Trump,1429,2
Los Alamos,Hillary Clinton,1424,1
Jim Hogg,Hillary Clinton,1421,1
Schoharie,Donald Trump,1419,2
Fentress,Donald Trump,1418,2
Colonial Heights,Donald Trump,1417,2
Inyo,Donald Trump,1414,2
Gage,Donald Trump,1407,2
Cedar,Ted Cruz,1404,5
Lyon,Donald Trump,1399,2
Chickasaw,Hillary Clinton,1398,1
Noxubee,Hillary Clinton,1397,1
Fredericksburg,Hillary Clinton,1396,1
Elbert,Donald Trump,1394,2
Gem,Ted Cruz,1391,5
Yancey,Bernie Sanders,1386,3
Blanco,Ted Cruz,1379,5
Page,Donald Trump,1377,2
New Madrid,Donald Trump,1376,2
Ashley,Hillary Clinton,1375,1
Moniteau,Ted Cruz,1374,5
Chicot,Hillary Clinton,1370,1
Cooper,Ted Cruz,1369,5
Prince Edward,Hillary Clinton,1366,1
Staunton,Bernie Sanders,1364,3
Payette,Ted Cruz,1364,5
Nolan,Ted Cruz,1361,5
Towns,Donald Trump,1356,2
Fluvanna,Hillary Clinton,1355,1
Andrews,Ted Cruz,1349,5
New London,Bernie Sanders,1343,3
Desha,Hillary Clinton,1342,1
Duchesne,Ted Cruz,1342,5
Colusa,Donald Trump,1342,2
Tallahatchie,Hillary Clinton,1341,1
Massac,Donald Trump,1341,2
Harney,Donald Trump,1335,2
Hickman,Donald Trump,1325,2
Braxton,Bernie Sanders,1321,3
Moultrie,Ted Cruz,1321,5
McCurtain,Bernie Sanders,1314,3
Bates,Donald Trump,1306,2
Menominee,Donald Trump,1304,2
Holt,Donald Trump,1302,2
Bristol,Bernie Sanders,1302,3
Yates,Donald Trump,1296,2
Appling,Donald Trump,1290,2
Hendry,Donald Trump,1290,2
McDuffie,Donald Trump,1288,2
Sanpete,Ted Cruz,1282,5
Ford,Ted Cruz,1281,5
Gaines,Ted Cruz,1274,5
Bollinger,Donald Trump,1272,2
Wilkinson,Hillary Clinton,1269,1
Nodaway,Donald Trump,1268,2
Scurry,Ted Cruz,1265,5
Poquoson,Donald Trump,1261,2
McIntosh,Bernie Sanders,1261,3
Pueblo,Hillary Clinton,1260,1
Otoe,Donald Trump,1255,2
Keith,Donald Trump,1253,2
Drew,Hillary Clinton,1250,1
Valley,Donald Trump,1250,2
Saluda,Donald Trump,1248,2
Wallowa,Donald Trump,1245,2
Cannon,Donald Trump,1244,2
Sharp,Donald Trump,1241,2
Woodward,Ted Cruz,1235,5
Coosa,Donald Trump,1233,2
Oglethorpe,Donald Trump,1230,2
Cook,Donald Trump,1229,2
Doddridge,Donald Trump,1222,2
Missaukee,Donald Trump,1221,2
Cherry,Donald Trump,1220,2
Sabine,Donald Trump,1215,2
Archer,Ted Cruz,1215,5
Yalobusha,Hillary Clinton,1214,1
Amite,Hillary Clinton,1212,1
Somervell,Ted Cruz,1206,5
Crisp,Donald Trump,1204,2
Southampton,Hillary Clinton,1199,1
Box Butte,Donald Trump,1188,2
Patrick,Donald Trump,1182,2
Red Willow,Donald Trump,1178,2
Hopewell,Hillary Clinton,1177,1
Windham,Bernie Sanders,1171,3
Jerome,Ted Cruz,1164,5
Minidoka,Ted Cruz,1163,5
Brantley,Donald Trump,1161,2
Pemiscot,Donald Trump,1155,2
Rockbridge,Donald Trump,1154,2
Dade,Donald Trump,1151,2
Falls,Ted Cruz,1150,5
Coleman,Ted Cruz,1149,5
Walthall,Donald Trump,1143,2
Arenac,Donald Trump,1141,2
Runnels,Ted Cruz,1132,5
King William,Donald Trump,1131,2
Cheyenne,Donald Trump,1130,2
Reeves,Hillary Clinton,1128,1
Luna,Donald Trump,1123,2
Lamb,Ted Cruz,1121,5
Hardy,Donald Trump,1119,2
Knott,Bernie Sanders,1114,3
Hardee,Donald Trump,1113,2
Alcona,Donald Trump,1111,2
Forest,Donald Trump,1110,2
Bourbon,Hillary Clinton,1109,1
Cerro Gordo,Bernie Sanders,1108,3
Rains,Ted Cruz,1105,5
Dixie,Donald Trump,1103,2
Bond,Donald Trump,1102,2
Ozark,Donald Trump,1099,2
Mesa,Bernie Sanders,1095,3
Harlan,Bernie Sanders,1092,3
Tattnall,Donald Trump,1089,2
Big Horn,Donald Trump,1087,2
Live Oak,Ted Cruz,1081,5
Ste. Genevieve,Donald Trump,1080,2
Skamania,Donald Trump,1078,2
Glacier,Bernie Sanders,1074,3
Arkansas,Donald Trump,1073,2
Jeff Davis,Donald Trump,1071,2
Heard,Donald Trump,1068,2
Des Moines,Bernie Sanders,1066,3
Carson City,Donald Trump,1066,2
Menard,Ted Cruz,1064,5
Summers,Bernie Sanders,1060,3
Amelia,Donald Trump,1055,2
Nantucket,Bernie Sanders,1051,3
Socorro,Hillary Clinton,1050,1
Red River,Ted Cruz,1048,5
Sequatchie,Donald Trump,1046,2
Montmorency,Donald Trump,1046,2
Elko,Ted Cruz,1039,5
Gulf,Donald Trump,1038,2
Poinsett,Donald Trump,1036,2
Appomattox,Donald Trump,1033,2
Musselshell,Donald Trump,1032,2
Casey,Donald Trump,1029,2
Vinton,Donald Trump,1023,2
Allendale,Hillary Clinton,1022,1
Ben Hill,Donald Trump,1020,2
Blackford,Donald Trump,1019,2
Modoc,Donald Trump,1019,2
Torrance,Donald Trump,1016,2
Sierra,Donald Trump,1013,2
Broomfield,Bernie Sanders,1010,3
Bledsoe,Donald Trump,1009,2
Kemper,Hillary Clinton,1008,1
Broadwater,Donald Trump,1001,2
Pamlico,Donald Trump,999,2
Crockett,Donald Trump,995,2
Deaf Smith,Ted Cruz,993,5
Mora,Hillary Clinton,986,1
Deer Lodge,Hillary Clinton,986,1
Quitman,Hillary Clinton,986,1
Nye,Donald Trump,980,2
Chowan,Hillary Clinton,974,1
McCormick,Hillary Clinton,973,1
Cross,Donald Trump,972,2
Muscatine,Bernie Sanders,972,3
Roosevelt,Donald Trump,966,2
Ralls,Donald Trump,961,2
Rosebud,Donald Trump,959,2
Maries,Donald Trump,958,2
Kingfisher,Ted Cruz,958,5
Brookings,Hillary Clinton,955,1
Stewart,Donald Trump,953,2
Winchester,Hillary Clinton,949,1
Colfax,Hillary Clinton,949,1
Ferry,Donald Trump,949,2
Jack,Ted Cruz,943,5
Oregon,Donald Trump,941,2
La Paz,Donald Trump,940,2
Searcy,Donald Trump,939,2
Schuyler,Donald Trump,938,2
Seward,Donald Trump,935,2
Bleckley,Donald Trump,935,2
Pondera,Donald Trump,930,2
Ochiltree,Ted Cruz,928,5
Craig,Bernie Sanders,926,3
Wilbarger,Ted Cruz,923,5
Fall River,Donald Trump,923,2
Mono,Bernie Sanders,917,3
Hempstead,Ted Cruz,917,5
San Augustine,Ted Cruz,916,5
Presque Isle,Donald Trump,916,2
Dickenson,Donald Trump,911,2
Yell,Donald Trump,911,2
Waynesboro,Donald Trump,910,2
McCulloch,Ted Cruz,906,5
Tunica,Hillary Clinton,904,1
Bacon,Donald Trump,904,2
Boundary,Ted Cruz,901,5
Beckham,Ted Cruz,900,5
Candler,Donald Trump,897,2
Teton,Donald Trump,882,2
Terry,Ted Cruz,879,5
Breckinridge,Hillary Clinton,877,1
Izard,Donald Trump,873,2
Irwin,Donald Trump,869,2
Edwards,Donald Trump,867,2
Chouteau,Donald Trump,865,2
Camp,Ted Cruz,863,5
Charles City,Hillary Clinton,863,1
Gooding,Ted Cruz,863,5
Toole,Donald Trump,863,2
Woodruff,Hillary Clinton,862,1
Switzerland,Donald Trump,858,2
Mackinac,Donald Trump,856,2
Pleasants,Donald Trump,855,2
Carson,Ted Cruz,854,5
Latimer,Bernie Sanders,852,3
Martinsville,Hillary Clinton,834,1
Pocahontas,Donald Trump,833,2
Greensville,Hillary Clinton,832,1
Dawes,Donald Trump,831,2
Swain,Bernie Sanders,831,3
Buckingham,Donald Trump,830,2
Nottoway,Hillary Clinton,829,1
Dakota,Donald Trump,819,2
Twiggs,Hillary Clinton,818,1
Powell,Donald Trump,818,2
Wapello,Hillary Clinton,817,1
Pecos,Hillary Clinton,816,1
Major,Ted Cruz,816,5
Sheridan,Donald Trump,809,2
Shannon,Donald Trump,808,2
Davison,Donald Trump,808,2
Fleming,Bernie Sanders,806,3
Tolland,Bernie Sanders,806,3
Terrell,Hillary Clinton,804,1
Screven,Donald Trump,801,2
Gogebic,Bernie Sanders,790,3
Alleghany,Donald Trump,790,2
Tucker,Donald Trump,787,2
Cuming,Donald Trump,783,2
Wheeler,Ted Cruz,781,5
Presidio,Hillary Clinton,776,1
Merrick,Donald Trump,775,2
Antelope,Donald Trump,772,2
Brewster,Bernie Sanders,771,3
Millard,Ted Cruz,771,5
Mathews,Donald Trump,762,2
Pawnee,Bernie Sanders,762,3
Early,Donald Trump,760,2
Lemhi,Donald Trump,757,2
Haskell,Bernie Sanders,752,3
Gates,Hillary Clinton,749,1
Goliad,Ted Cruz,747,5
Rockcastle,Donald Trump,743,2
Ward,Ted Cruz,742,5
Lunenburg,Hillary Clinton,738,1
Dooly,Hillary Clinton,737,1
Fallon,Donald Trump,734,2
Parmer,Ted Cruz,728,5
Perquimans,Donald Trump,726,2
McCreary,Donald Trump,725,2
Atoka,Bernie Sanders,723,3
Little River,Hillary Clinton,721,1
Karnes,Hillary Clinton,719,1
Owyhee,Ted Cruz,717,5
Trigg,Bernie Sanders,715,3
Windsor,Bernie Sanders,709,3
Sweet Grass,Donald Trump,707,2
San Saba,Ted Cruz,707,5
Yankton,Hillary Clinton,706,1
Oscoda,Donald Trump,705,2
Washita,Bernie Sanders,700,3
Richardson,Donald Trump,699,2
Quay,Donald Trump,695,2
Morrill,Donald Trump,695,2
Boise,Donald Trump,691,2
Yoakum,Ted Cruz,685,5
Hansford,Ted Cruz,682,5
Lynn,Ted Cruz,678,5
Benewah,Ted Cruz,671,5
Mahaska,Ted Cruz,669,5
Pushmataha,Bernie Sanders,667,3
Ballard,Bernie Sanders,659,3
Radford,Bernie Sanders,655,3
Turner,Donald Trump,652,2
Reynolds,Donald Trump,647,2
Juab,Ted Cruz,647,5
Sharkey,Hillary Clinton,645,1
Bear Lake,Ted Cruz,643,5
Bath,Bernie Sanders,641,3
Bremer,Hillary Clinton,640,1
Grand,Bernie Sanders,636,3
Mills,Ted Cruz,633,5
Long,Donald Trump,633,2
Shoshone,Donald Trump,632,2
Glades,Donald Trump,632,2
Clearwater,Donald Trump,629,2
Magoffin,Bernie Sanders,626,3
Telfair,Donald Trump,626,2
Eagle,Bernie Sanders,623,3
Alger,Bernie Sanders,622,3
Atkinson,Donald Trump,619,2
Winneshiek,Bernie Sanders,616,3
Kearney,Donald Trump,614,2
Pepin,Donald Trump,607,2
Burt,Donald Trump,603,2
Charlton,Donald Trump,602,2
Caribou,Ted Cruz,602,5
Chariton,Donald Trump,597,2
Okfuskee,Bernie Sanders,596,3
Pickett,Donald Trump,594,2
Pendleton,Donald Trump,587,2
Bland,Donald Trump,584,2
Metcalfe,Bernie Sanders,582,3
Manassas Park,Hillary Clinton,581,1
Garrard,Donald Trump,581,2
Hartley,Ted Cruz,577,5
Woods,Ted Cruz,574,5
Garza,Ted Cruz,574,5
Fillmore,Donald Trump,574,2
Litchfield,Donald Trump,568,2
Real,Ted Cruz,562,5
Shackelford,Ted Cruz,560,5
Prairie,Hillary Clinton,558,1
La Salle,Hillary Clinton,557,1
Rappahannock,Donald Trump,556,2
Refugio,Hillary Clinton,549,1
Furnas,Donald Trump,546,2
Blaine,Donald Trump,543,2
Trimble,Bernie Sanders,542,3
Churchill,Donald Trump,538,2
Stanton,Donald Trump,537,2
Edmonson,Donald Trump,531,2
Wahkiakum,Donald Trump,530,2
Nowata,Bernie Sanders,530,3
Schoolcraft,Donald Trump,529,2
Hemphill,Ted Cruz,526,5
Todd,Bernie Sanders,524,3
Ontonagon,Donald Trump,519,2
Powder River,Donald Trump,516,2
Lipscomb,Ted Cruz,515,5
Kiowa,Bernie Sanders,514,3
Dixon,Donald Trump,513,2
Jenkins,Donald Trump,513,2
Lanier,Donald Trump,512,2
Leslie,Donald Trump,503,2
Love,Bernie Sanders,502,3
Catron,Donald Trump,501,2
Beadle,Hillary Clinton,501,1
Wolfe,Bernie Sanders,499,3
Greenlee,Hillary Clinton,497,1
Castro,Ted Cruz,496,5
Bailey,Ted Cruz,496,5
Hamlin,Donald Trump,489,2
Granite,Donald Trump,487,2
Atchison,Donald Trump,487,2
Gunnison,Bernie Sanders,481,3
Evans,Donald Trump,481,2
King and Queen,Hillary Clinton,477,1
Tama,Hillary Clinton,476,1
Chase,Donald Trump,476,2
Poweshiek,Bernie Sanders,475,3
Winkler,Ted Cruz,474,5
Nemaha,Donald Trump,472,2
Baraga,Donald Trump,468,2
Crane,Ted Cruz,468,5
Thayer,Donald Trump,466,2
Carlisle,Bernie Sanders,462,3
Hyde,Hillary Clinton,459,1
Coal,Bernie Sanders,456,3
Kimble,Ted Cruz,456,5
Emery,Ted Cruz,455,5
Trousdale,Donald Trump,453,2
Tripp,Donald Trump,452,2
Nuckolls,Donald Trump,446,2
Estill,Hillary Clinton,446,1
Childress,Ted Cruz,444,5
Elliott,Bernie Sanders,443,3
Swisher,Ted Cruz,442,5
Perkins,Donald Trump,441,2
Kimball,Donald Trump,439,2
Hampden,Donald Trump,437,2
Treutlen,Donald Trump,437,2
Gentry,Donald Trump,435,2
Lyman,Donald Trump,432,2
Wirt,Donald Trump,431,2
Grand Isle,Bernie Sanders,426,3
Edmunds,Donald Trump,426,2
Bracken,Bernie Sanders,424,3
Judith Basin,Donald Trump,421,2
Alfalfa,Ted Cruz,421,5
Power,Ted Cruz,421,5
Kingsbury,Donald Trump,421,2
Pitkin,Bernie Sanders,421,3
Clinch,Donald Trump,412,2
Montezuma,Bernie Sanders,412,3
McCone,Donald Trump,410,2
Luce,Donald Trump,407,2
Routt,Bernie Sanders,406,3
Glascock,Donald Trump,405,2
Coke,Ted Cruz,405,5
Chaffee,Bernie Sanders,404,3
Charles Mix,Donald Trump,404,2
Emporia,Hillary Clinton,404,1
Haakon,Donald Trump,397,2
Roberts,Bernie Sanders,397,3
Meagher,Donald Trump,394,2
Dallam,Ted Cruz,390,5
Cotton,Bernie Sanders,388,3
Hand,Donald Trump,385,2
Wheatland,Donald Trump,380,2
Sutton,Ted Cruz,379,5
Garden,Donald Trump,372,2
Dewey,Ted Cruz,363,5
Reagan,Ted Cruz,360,5
Kossuth,Hillary Clinton,360,1
Donley,Ted Cruz,358,5
Baylor,Ted Cruz,355,5
Culberson,Hillary Clinton,355,1
Cochran,Ted Cruz,353,5
Crosby,Ted Cruz,353,5
Stanley,Donald Trump,352,2
O'Brien,Ted Cruz,347,5
Tillman,Bernie Sanders,346,3
Bon Homme,Donald Trump,343,2
Day,Hillary Clinton,343,1
Gregory,Donald Trump,341,2
McPherson,Donald Trump,340,2
Daniels,Donald Trump,340,2
Greer,Bernie Sanders,332,3
Schley,Donald Trump,331,2
Menifee,Bernie Sanders,323,3
McCook,Donald Trump,320,2
Frontier,Donald Trump,315,2
Nance,Donald Trump,310,2
Buena Vista,Ted Cruz,309,5
Fisher,Ted Cruz,306,5
Hitchcock,Donald Trump,305,2
Hanson,Donald Trump,305,2
Allamakee,Hillary Clinton,304,1
Galax,Donald Trump,303,2
Spink,Donald Trump,302,2
Harding,Donald Trump,298,2
Hickory,Donald Trump,297,2
Appanoose,Donald Trump,292,2
Upton,Ted Cruz,290,5
Sherman,Ted Cruz,284,5
Harper,Ted Cruz,280,5
Concho,Ted Cruz,280,5
Deuel,Donald Trump,274,2
Echols,Donald Trump,268,2
Roger Mills,Bernie Sanders,268,3
Dickens,Ted Cruz,267,5
Collingsworth,Ted Cruz,266,5
Schleicher,Ted Cruz,266,5
Tyrrell,Hillary Clinton,266,1
Moody,Hillary Clinton,262,1
Gosper,Donald Trump,259,2
Montrose,Bernie Sanders,258,3
Chittenden,Bernie Sanders,254,3
Addison,Bernie Sanders,251,3
Keokuk,Hillary Clinton,250,1
Brule,Donald Trump,245,2
Briscoe,Ted Cruz,244,5
Motley,Ted Cruz,239,5
Taliaferro,Hillary Clinton,236,1
Wibaux,Donald Trump,231,2
Irion,Ted Cruz,228,5
Gilliam,Donald Trump,227,2
Guthrie,Hillary Clinton,220,1
Dundy,Donald Trump,219,2
Teller,Bernie Sanders,219,3
Saguache,Bernie Sanders,219,3
Faulk,Donald Trump,216,2
Palo Alto,Hillary Clinton,213,1
Sac,Donald Trump,212,2
Kinney,Hillary Clinton,211,1
Cimarron,Ted Cruz,204,5
Keya Paha,Donald Trump,203,2
Golden Valley,Donald Trump,203,2
Glasscock,Ted Cruz,202,5
Norton,Donald Trump,200,2
Clear Creek,Bernie Sanders,199,3
Rich,Ted Cruz,198,5
Keweenaw,Bernie Sanders,188,3
Throckmorton,Ted Cruz,188,5
Audubon,Hillary Clinton,187,1
Monona,Ted Cruz,185,5
Chattahoochee,Hillary Clinton,182,1
Bennett,Donald Trump,179,2
Issaquena,Hillary Clinton,175,1
Gilpin,Bernie Sanders,173,3
McMullen,Ted Cruz,172,5
White Pine,Donald Trump,172,2
Owsley,Donald Trump,168,2
Cottle,Ted Cruz,168,5
Harmon,Bernie Sanders,167,3
Alamosa,Bernie Sanders,167,3
Petroleum,Donald Trump,167,2
Lander,Donald Trump,165,2
Borden,Ted Cruz,164,5
