county,candidate,votes,numbers
Somerset,Hillary Clinton,19667,1
Clay,Donald Trump,19374,2
San Luis Obispo,Donald Trump,19313,2
Northampton,Donald Trump,19285,2
Lubbock,Ted Cruz,19163,5
St. Joseph,Donald Trump,19059,2
Racine,Ted Cruz,18698,5
Outagamie,Ted Cruz,18621,5
Medina,John Kasich,18572,4
Webb,Hillary Clinton,18559,1
Hendricks,Donald Trump,18555,2
Cherokee,Donald Trump,18460,2
St. Lucie,Donald Trump,18350,2
Merrimack,Bernie Sanders,18076,3
Gloucester,Hillary Clinton,17954,1
Yellowstone,Donald Trump,17925,2
Trumbull,Hillary Clinton,17903,1
Winnebago,Bernie Sanders,17818,3
Sussex,Donald Trump,17794,2
Okaloosa,Donald Trump,17770,2
Sumter,Donald Trump,17769,2
Alachua,Hillary Clinton,17733,1
El Dorado,Donald Trump,17651,2
Davis,Ted Cruz,17528,5
Galveston,Ted Cruz,17483,5
Licking,John Kasich,17357,4
Rock,Bernie Sanders,17337,3
Johnson,Donald Trump,17218,2
Clermont,Donald Trump,17186,2
Monterey,Hillary Clinton,17126,1
Yavapai,Donald Trump,17005,2
Rockland,Hillary Clinton,16966,1
Ozaukee,Ted Cruz,16919,5
Schuylkill,Donald Trump,16800,2
Thurston,Donald Trump,16639,2
Carroll,Donald Trump,16534,2
Whatcom,Donald Trump,16533,2
Charlotte,Donald Trump,16525,2
McHenry,Donald Trump,16514,2
Osceola,Hillary Clinton,16512,1
Cleveland,Bernie Sanders,16428,3
Lexington,Donald Trump,16361,2
Kitsap,Donald Trump,16346,2
Alexandria,Hillary Clinton,16281,1
Richmond,Hillary Clinton,16269,1
Elkhart,Ted Cruz,16204,5
Porter,Donald Trump,16194,2
Chesapeake,Hillary Clinton,16126,1
Santa Fe,Hillary Clinton,16087,1
Martin,Donald Trump,16065,2
Santa Rosa,Donald Trump,16044,2
Strafford,Bernie Sanders,15865,3
Norfolk,Hillary Clinton,15747,1
Butte,Donald Trump,15695,2
Nueces,Hillary Clinton,15662,1
Henry,Hillary Clinton,15639,1
Sheboygan,Ted Cruz,15545,5
Hernando,Donald Trump,15479,2
Fairfield,John Kasich,15478,4
Stanislaus,Donald Trump,15390,2
Livingston,Donald Trump,15359,2
Tulare,Donald Trump,15334,2
Spartanburg,Donald Trump,15249,2
